Permission name,Type,ID
AccessReview.Read.All,Application,d07a8cc0-3d51-4b77-b3b0-32704d1f69fa
AccessReview.ReadWrite.All,Application,ef5f7d5c-338f-44b0-86c3-351f46c8bb5f
AccessReview.ReadWrite.Membership,Application,18228521-a591-40f1-b215-5fad4488c117
Acronym.Read.All,Application,8c0aed2c-0c61-433d-b63c-6370ddc73248
AdministrativeUnit.Read.All,Application,134fd756-38ce-4afd-ba33-e9623dbe66c2
AdministrativeUnit.ReadWrite.All,Application,5eb59dd3-1da2-4329-8733-9dabdc435916
Agreement.Read.All,Application,2f3e6f8c-093b-4c57-a58b-ba5ce494a169
Agreement.ReadWrite.All,Application,c9090d00-6101-42f0-a729-c41074260d47
AgreementAcceptance.Read.All,Application,d8e4ec18-f6c0-4620-8122-c8b1f2bf400e
APIConnectors.Read.All,Application,b86848a7-d5b1-41eb-a9b4-54a4e6306e97
APIConnectors.ReadWrite.All,Application,1dfe531a-24a6-4f1b-80f4-7a0dc5a0a171
AppCatalog.Read.All,Application,e12dae10-5a57-4817-b79d-dfbec5348930
AppCatalog.ReadWrite.All,Application,dc149144-f292-421e-b185-5953f2e98d7f
Application.Read.All,Application,9a5d68dd-52b0-4cc2-bd40-abcf44ac3a30
Application.ReadWrite.All,Application,1bfefb4e-e0b5-418b-a88f-73c46d2cc8e9
Application.ReadWrite.OwnedBy,Application,18a4783c-866b-4cc7-a460-3d5e5662c884
Application-RemoteDesktopConfig.ReadWrite.All,Application,3be0012a-cc4e-426b-895b-f9c836bf6381
AppRoleAssignment.ReadWrite.All,Application,06b708a9-e830-4db3-a914-8e69da51d44f
AttackSimulation.Read.All,Application,93283d0a-6322-4fa8-966b-8c121624760d
AttackSimulation.ReadWrite.All,Application,e125258e-8c8a-42a8-8f55-ab502afa52f3
AuditLog.Read.All,Application,b0afded3-3588-46d8-8b3d-9842eff778da
AuthenticationContext.Read.All,Application,381f742f-e1f8-4309-b4ab-e3d91ae4c5c1
AuthenticationContext.ReadWrite.All,Application,a88eef72-fed0-4bf7-a2a9-f19df33f8b83
BillingConfiguration.ReadWrite.All,Application,9e8be751-7eee-4c09-bcfd-d64f6b087fd8
Bookings.Read.All,Application,6e98f277-b046-4193-a4f2-6bf6a78cd491
BookingsAppointment.ReadWrite.All,Application,9769393e-5a9f-4302-9e3d-7e018ecb64a7
Bookmark.Read.All,Application,be95e614-8ef3-49eb-8464-1c9503433b86
BrowserSiteLists.Read.All,Application,c5ee1f21-fc7f-4937-9af0-c91648ff9597
BrowserSiteLists.ReadWrite.All,Application,8349ca94-3061-44d5-9bfb-33774ea5e4f9
BusinessScenarioConfig.Read.OwnedBy,Application,acc0fc4d-2cd6-4194-8700-1768d8423d86
BusinessScenarioConfig.ReadWrite.OwnedBy,Application,bbea195a-4c47-4a4f-bff2-cba399e11698
BusinessScenarioData.Read.OwnedBy,Application,6c0257fd-cffe-415b-8239-2d0d70fdaa9c
BusinessScenarioData.ReadWrite.OwnedBy,Application,f2d21f22-5d80-499e-91cc-0a8a4ce16f54
